artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
Orjan Nilsen,16UKw34UY9w40Vc7TOkPpA,Nothing Here But Love,0.0448,0.574,189467,0.8809999999999999,0.0,5,0.0756,-2.15,0,0.166,126.131,4,0.551,29
Burbank,7AgDITo8BVDoh2bXj2psYA,Waiting for U,0.8320000000000001,0.6990000000000001,168000,0.309,0.171,4,0.1159999999999999,-10.79,1,0.159,79.991,4,0.422,31
Messiah,3NXnKCNwFNk6xVYEZE2Tmu,Bien De To,0.13,0.5720000000000001,186566,0.867,0.0,5,0.321,-6.148,0,0.386,88.148,5,0.376,22
Dirty Projectors,7B1he5MaIXjreL2R4qOa6h,Blue Bird,0.52,0.53,229333,0.521,0.0289,8,0.209,-7.939,0,0.152,117.259,3,0.529,37
Code Orange,2XhJpVPyqhDU0EPDAIBpwe,The Hunt (feat. Corey Taylor),2.62e-05,0.121,226906,0.982,0.0187,6,0.6409999999999999,-0.447,1,0.135,75.075,4,0.228,44
Trevor Hall,5iz6oTqd2Xu0FLdTwom6mK,Free,0.774,0.523,258255,0.615,2.01e-05,0,0.365,-8.136000000000001,1,0.0361,95.087,4,0.637,42
Lake Street Dive,5eyPkSDWFQNnnkZhFfE6Yo,Good Kisser - Recorded at Spotify Studios NYC,0.1669999999999999,0.57,245596,0.556,0.0,10,0.0868,-8.139,1,0.0894,158.153,4,0.691,38
Sleeping At Last,0aNAiwG9kCxFKCJVbo6B1J,"July 27, 2018: Total Lunar Eclipse",0.927,0.336,102570,0.294,0.968,8,0.0965,-15.374,1,0.033,141.452,4,0.156,37
Xavier Wulf,1QozDHVFxNin5IQvFG7HZ8,Homecoming (feat. Bankroll Rico),0.239,0.914,184130,0.565,0.0,9,0.1009999999999999,-5.1,1,0.389,133.02100000000002,4,0.6809999999999999,42
Xavier Wulf,6WclEbHlipCKMaPsG8Ii1k,Eastside Sliding (feat. idontknowjeffery & Chris Travis),0.00361,0.942,152655,0.736,0.0,2,0.106,-6.058,1,0.268,140.025,4,0.833,43
Armin van Buuren,5DmhuZg7dwVaA0XUlxxVVu,Our Origin (ASOT 874) [Tune Of The Week],0.000129,0.372,440952,0.813,0.937,9,0.289,-11.142,0,0.0327,131.999,4,0.118,27
